Id,SalePrice
1461,107713.0901
1462,142045.7833
1463,202320.8354
1464,198041.0225
1465,161121.7756
1466,198065.4658
1467,226201.4127
1468,196289.9879
1469,197247.3732
1470,164893.8329
1471,222830.0983
1472,127047.1995
1473,128060.8391
1474,189488.063
1475,97333.54383
1476,201240.8826
1477,170888.366
1478,169373.9877
1479,172264.9724
1480,263603.6211
1481,262881.4305
1482,163485.0056
1483,177122.5379
1484,159119.6409
1485,262492.5586
1486,196484.4238
1487,207337.6333
1488,165546.0267
1489,165799.3489
1490,227920.9869
1491,200198.7059
1492,105688.7341
1493,234456.6074
1494,263331.7614
1495,261099.6368
1496,221693.4814
1497,189846.5856
1498,189513.2669
1499,249528.3303
1500,249528.3303
1501,250012.7535
1502,188611.0841
1503,199208.048
1504,255913.9573
1505,226223.6339
1506,229966.0432
1507,260718.5423
1508,268644.5119
1509,168254.3873
1510,197621.0408
1511,167574.0664
1512,228090.219
1513,168351.8102
1514,295869.3282
1515,167378.5194
1516,175862.5929
1517,168204.7993
1518,166773.3409
1519,226442.5133
1520,165518.6007
1521,107730.1066
1522,198101.0198
1523,105126.8871
1524,137346.7492
1525,107918.9872
1526,170656.9143
1527,133955.7864
1528,165534.1556
1529,134677.2166
1530,166404.878
1531,161907.6474
1532,160544.0231
1533,193404.5585
1534,103480.2924
1535,108981.163
1536,104968.0051
1537,105528.7411
1538,167240.7476
1539,227334.6965
1540,167637.7476
1541,136913.4348
1542,132671.7487
1543,134852.7644
1544,161116.2203
1545,162227.2829
1546,163240.9225
1547,133260.6118
1548,132860.6293
1549,101733.3515
1550,164521.2171
1551,162360.6104
1552,136200.8339
1553,140526.9608
1554,129602.9939
1555,173532.6948
1556,138007.071
1557,167574.0664
1558,102481.4472
1559,134373.136
1560,223041.2002
1561,291078.8364
1562,165240.8351
1563,164262.7494
1564,164823.0755
1565,139681.7928
1566,207217.6978
1567,105087.6493
1568,267708.2368
1569,208634.2433
1570,169328.4341
1571,106202.3956
1572,167157.4179
1573,173974.1965
1574,169018.4477
1575,198238.0904
1576,231068.9777
1577,163738.3279
1578,172390.5225
1579,167899.2571
1580,197328.8314
1581,203887.4335
1582,164885.2951
1583,259258.2555
1584,198384.6914
1585,159474.8303
1586,104552.1171
1587,105637.9759
1588,167734.0594
1589,107901.9707
1590,163579.7966
1591,102935.8718
1592,160952.8941
1593,164327.1911
1594,228375.7028
1595,167506.2916
1596,199581.3057
1597,206314.6953
1598,269542.2504
1599,158888.1893
1600,159901.829
1601,102846.2855
1602,104955.4328
1603,105493.5377
1604,250936.0465
1605,259992.6679
1606,197643.2621
1607,233539.5709
1608,230552.3336
1609,166452.6537
1610,197845.4755
1611,172560.1645
1612,167811.8338
1613,169768.4149
1614,188601.0845
1615,127834.1824
1616,128305.2729
1617,128294.1623
1618,103539.1787
1619,169879.1706
1620,348425.1276
1621,137832.6342
1622,170316.87
1623,289086.3507
1624,262115.9084
1625,109253.0227
1626,229681.6112
1627,198264.346
1628,201070.1296
1629,196287.7658
1630,223414.1666
1631,224521.1355
1632,225224.4381
1633,196868.8515
1634,256048.3959
1635,257496.1104
1636,164629.7507
1637,260937.071
1638,202690.0587
1639,168716.2387
1640,201732.3228
1641,168894.0087
1642,255492.8646
1643,195287.8095
1644,196365.5402
1645,227749.1228
1646,228601.3078
1647,168851.7883
1648,133880.2341
1649,196409.9827
1650,164394.2054
1651,105813.5237
1652,187807.7859
1653,187807.7859
1654,189519.1728
1655,188474.4234
1656,189564.7264
1657,219961.6855
1658,189581.3923
1659,127518.29
1660,138093.7339
1661,325330.0715
1662,261437.0492
1663,231056.756
1664,322676.1529
1665,169438.4293
1666,236078.7587
1667,275633.7965
1668,228853.519
1669,228400.9659
1670,232350.0328
1671,231643.397
1672,295066.0892
1673,263463.9779
1674,167305.1893
1675,163231.6834
1676,220998.7167
1677,227773.2156
1678,263185.511
1679,264672.4633
1680,224532.2462
1681,162751.7044
